Noticia_principal,Numero_TD,Precision,Recall,F1,WD,Pk
Julen,1.txt,0.9054820415879017,0.9158699808795411,0.9106463878326997,0.1875,0.09375
Julen,10.txt,0.9412751677852349,0.9033816425120773,0.9219391947411668,0.15789473684210525,0.13157894736842105
Julen,2.txt,0.7950310559006211,0.8648648648648649,0.8284789644012944,0.25925925925925924,0.2222222222222222
Julen,3.txt,1.0,0.8598265895953757,0.9246309246309247,0.7647058823529411,0.4411764705882353
Julen,4.txt,0.9197530864197531,0.9966555183946488,0.9566613162118781,0.22857142857142856,0.08571428571428572
Julen,5.txt,0.8956386292834891,0.8132956152758133,0.8524833209785027,0.3181818181818182,0.29545454545454547
Julen,6.txt,0.9007299270072993,0.9292168674698795,0.9147516679021498,0.24444444444444444,0.17777777777777778
Julen,7.txt,0.6783004552352049,0.8886679920477137,0.7693631669535284,0.34285714285714286,0.34285714285714286
Julen,8.txt,0.7873651771956857,0.8765008576329331,0.8295454545454545,0.4166666666666667,0.3055555555555556
Julen,9.txt,0.9185441941074524,0.893760539629005,0.9059829059829059,0.35,0.175
